idbeersales,category,subcategory,period,netsales,qtr,fyr,end_dt,end_qtr_dt,cyr
242,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q2,134176589,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
243,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q3,116211145,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
244,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2020 Q4,106411838,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
245,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2019 Q4,30059340,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
246,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q1,37125580,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
247,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q2,38881905,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
248,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q3,32676604,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
249,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2020 Q4,32128711,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
250,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2019 Q4,35397841,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
251,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q1,47516105,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
252,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q2,47929773,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
253,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q3,40888446,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
254,Domestic - BC Beer,Domestic - BC Regional Beer,FY 2020 Q4,38002801,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
255,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2019 Q4,14393538,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
256,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q1,26339720,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
257,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q2,22699174,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
258,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q3,17337308,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
259,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY 2020 Q4,17145245,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
260,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2019 Q4,178701,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
261,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q1,233987,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
262,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q2,288450,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
263,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q3,177058,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
264,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY 2020 Q4,162449,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
265,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2019 Q4,1363775,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
266,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q1,1565200,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
267,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q2,1539645,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
268,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q3,1306420,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
269,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY 2020 Q4,1087420,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
270,Import Beer,Asia And South Pacific Beer,FY 2019 Q4,1518103,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
271,Import Beer,Asia And South Pacific Beer,FY 2020 Q1,1650275,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
272,Import Beer,Asia And South Pacific Beer,FY 2020 Q2,1841039,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
273,Import Beer,Asia And South Pacific Beer,FY 2020 Q3,1592215,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
274,Import Beer,Asia And South Pacific Beer,FY 2020 Q4,1450332,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
275,Import Beer,Europe Beer,FY 2019 Q4,23177620,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
276,Import Beer,Europe Beer,FY 2020 Q1,27842488,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
277,Import Beer,Europe Beer,FY 2020 Q2,27818966,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
278,Import Beer,Europe Beer,FY 2020 Q3,26668501,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
279,Import Beer,Europe Beer,FY 2020 Q4,22746299,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
280,Import Beer,Mexico And Caribbean Beer,FY 2019 Q4,7881960,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
281,Import Beer,Mexico And Caribbean Beer,FY 2020 Q1,14956690,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
282,Import Beer,Mexico And Caribbean Beer,FY 2020 Q2,15502187,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
283,Import Beer,Mexico And Caribbean Beer,FY 2020 Q3,9559544,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
284,Import Beer,Mexico And Caribbean Beer,FY 2020 Q4,9093492,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
285,Import Beer,Other Country Beer,FY 2019 Q4,106176,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
286,Import Beer,Other Country Beer,FY 2020 Q1,102492,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
287,Import Beer,Other Country Beer,FY 2020 Q2,115957,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
288,Import Beer,Other Country Beer,FY 2020 Q3,80217,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
289,Import Beer,Other Country Beer,FY 2020 Q4,72414,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
290,Import Beer,USA Beer,FY 2019 Q4,4581223,Q4,2019,03-01,2019-03-01T00:00:00Z,2019
291,Import Beer,USA Beer,FY 2020 Q1,6702938,Q1,2020,06-30,2019-06-30T00:00:00Z,2019
292,Import Beer,USA Beer,FY 2020 Q2,6753630,Q2,2020,09-30,2019-09-30T00:00:00Z,2019
293,Import Beer,USA Beer,FY 2020 Q3,5069786,Q3,2020,12-31,2019-12-31T00:00:00Z,2019
294,Import Beer,USA Beer,FY 2020 Q4,2353032,Q4,2020,03-01,2020-03-01T00:00:00Z,2020
295,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2018 Q4,116904860,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
296,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q1,152567512,Q1,2019,06-30,2018-06-30T00:00:00Z,2018
297,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q2,150339008,Q2,2019,09-30,2018-09-30T00:00:00Z,2018
298,Domestic - BC Beer,Domestic - BC Commercial Beer,FY 2019 Q3,125998063,Q3,2019,12-31,2018-12-31T00:00:00Z,2018
299,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY 2018 Q4,29045093,Q4,2018,03-01,2018-03-01T00:00:00Z,2018
